threshold,precision,recall,f1,customers_flagged,true_positives,false_positives,false_negatives,true_negatives
0.35,0.39643652561247217,0.8746928746928747,0.5455938697318008,898,356,542,51,1051
0.4,0.4368421052631579,0.8157248157248157,0.5689802913453299,760,332,428,75,1165
0.45,0.48442367601246106,0.7641277641277642,0.5929456625357483,642,311,331,96,1262
0.5,0.5489833641404805,0.7297297297297297,0.6265822784810127,541,297,244,110,1349
0.55,0.5964523281596452,0.6609336609336609,0.627039627039627,451,269,182,138,1411
0.6,0.6577540106951871,0.6044226044226044,0.6299615877080665,374,246,128,161,1465
